La Condesa, Paris 9e
Aux Pesked, Saint-Brieuc (22)
La Vieille Tour, Plérin (22)
Le Mas Bottero, Saint-Cannat (13)
Les Trois Soleils de Montal, Saint-Céré (46)
Les Tables de Gaspard, Saint-Crépin (05)
Les Belles Perdrix de Troplong Mondot, Saint-Émilion (33)
Logis de la Cadène, Saint-Émilion (33)
La Source, Saint-Galmier (42)
Le Sérac, Saint-Gervais-les-Bains (74)
Ronan Kervarrec - Le Saison, Saint-Grégoire (35)
Le Cap, Saint-Jean-Cap-Ferrat (06)
Le Kaïku, Saint-Jean-de-Luz (64)
La Mare aux Oiseaux, Saint-Joachim (44)
Intuition, Saint-Lô (50)
Le St-Placide, Saint-Servan-sur-Mer (35)
Le Clocher des Pères, Saint-Martin-sur-la-Chambre (73)
Le Verbois, St-Maximin (83)
Le Gindreau, Saint-Médard (46)
L'Auberge Basque, Saint-Pée-sur-Nivelle (64)
La Pomme d'Api, Saint-Pol-de-Léon (29)
La Terrasse, Saint-Raphaël (83)
Fanny Rey et Jonathan Wahid, Saint-Rémy-de-Provence (13)
Restaurant de Tourrel, Saint-Rémy-de-Provence (13)
Colette, St-Tropez (83)
Le Hittau, Saint-Vincent-de-Tyrosse (40)
La Meynardie, Salignac-Eyvigues (24)
Villa Salone, Salon de Provence (13)
Auberge St-Walfrid, Sarreguemines (57)
La Table de la Ferme, Sartène (2A)
Le Sénéchal, Sauveterre-de-Rouergue (12)
Kasbür,  Saverne (67)
Les Plaisirs Gourmands, Schiltigheim (67)
Villa de l'Étang Blanc, Seignosse (40)
La Madeleine, Sens (89)
Auberge au Bœuf, Sessenheim (67)
The Marcel, Sète (34)
Auberge St-Laurent, Sierentz (68)
Au Déjeuner de Sousceyrac, Sousceyrac (46)
Au Crocodile, Strasbourg (67)
Buerehiesel, Strasbourg (67)
1741, Strasbourg (67)
Les Funambules, Strasbourg (67)
Umami, Strasbourg (67)
L'Auberge de Montmin, Talloires (74)
L'Or Bleu, Théoule-sur-Mer (06)
Le Panoramic, Tignes (38)
Ursus, Le Val Claret (73)
Le Cénacle, Toulouse (31)
Hedone, Toulouse (31)
Stéphane Tournié - Les Jardins de l'Opéra, Toulouse (31)
SEPT, Toulouse (31)
L'Aparté, Montrabé (31)
En Pleine Nature, Quint-Fonsegrives (31)
Ô Saveurs, Rouffiac-Tolosan (31)
Le Pavillon, Le Touquet-Paris-Plage (62)
Aux Terrasses, Tournus (71)
L'Écrin de Yohann Chapuis, Tournus (71)
Les Hautes Roches, Rochecorbon (37)
Ambroisie, Saint-Didier-de-la-Tour (38)
Le Pousse-Pied, La Tranche-sur-Mer (85)
Manoir de Lan-Kerellec, Trébeurden (22)
Numéro 3, Le Tremblay-sur-Mauldre (78)
Le Vieux Logis, Trémolat (24)
La Table d'Uzès, Uzès (30)
Äponem-Auberge du Presbytère, Vailhan (34)
Le Moulin de Léré, Vailly (74)
La Table de l'Ours, Val-d'Isère (73)
La Cachette, Valence (26)
Flaveurs, Valence (26)
Le Bec au Cauchois, Valmont (76)
Les Explorateurs, Val Thorens (73)
La Tête en l'Air, Vannes (56)
La Gourmandière - La Table d'Olivier, Vannes (56)
Le Pressoir, Saint-Avé (56)
Likoké, Les Vans (07)
Le Saint-Martin, Vence (06)
Pertica, Vendôme (41)
Dan B., Ventabren (13)
La Promenade, Verfeil (31)
Le Grand Contrôle, Versailles (78)
Gordon Ramsay au Trianon, Versailles (78)
La Table du 11, Versailles (78)
Maison Decoret, Vichy (03)
La Table de Philippe Girardon, Chonas-l'Amballan (38)
Le Corot, Ville-d'Avray (92)
Auberge de Montfleury, Villeneuve-de-Berg (07)
Le Prieuré, Villeneuve-lès-Avignon (30)
La Flibuste-Martin's, Villeneuve-Loubet-Plage (06)
Le France, Villiers-le-Lac (25)
L'Ours, Vincennes (94)
Le Jardin Secret, La Wantzenau (67)
La Liégeoise, Wimereux (62)
